"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"ЗАМ; БГЭУ: 2/402; (ЯS); 23 ДЦИ-11; (Лаб-9); неделя: 4","09/24/2025","16:05","09/24/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/402; (Язык SQL); 23 ДЦИ-11; (Лабораторные занятия); неделя: 4","БГЭУ: 2/402","True"
"ЗАМ; БГЭУ: 2/405; (ЯS); 23 ДЦИ-22; (Лаб-7); неделя: 4","09/25/2025","14:35","09/25/2025","15:55","False","Зеневич Анна Михайловна; БГЭУ: 2/405; (Язык SQL); 23 ДЦИ-22; (Лабораторные занятия); неделя: 4","БГЭУ: 2/405","True"
"ЗАМ; БГЭУ: 2/301; (ЯS); 23 ДЦИ-12; (Лаб-9); неделя: 4","09/25/2025","16:05","09/25/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/301; (Язык SQL); 23 ДЦИ-12; (Лабораторные занятия); неделя: 4","БГЭУ: 2/301","True"
"ЗАМ; БГЭУ: 3/233; (ЯS); 23 ДЦИ-1,223 ДЦС-1; (лек-4); неделя: 4","09/25/2025","17:45","09/25/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 3/233; (Язык SQL); 23 ДЦИ-1,223 ДЦС-1; (лекции); неделя: 4","БГЭУ: 3/233","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лек-8); неделя: 5","09/29/2025","17:45","09/29/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лекции); неделя: 5","БГЭУ: 2/406","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лаб-9); неделя: 5","09/29/2025","19:15","09/29/2025","20:35","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лабораторные занятия); неделя: 5","БГЭУ: 2/406","True"
"ЗАМ; БГЭУ: 4/313; (ЦТПД); 24 ДКР-124 ДКУ-1; (лек-7); неделя: 5","10/01/2025","13:05","10/01/2025","14:25","False","Зеневич Анна Михайловна; БГЭУ: 4/313; (Цифровые технологии представления данных); 24 ДКР-124 ДКУ-1; (лекции); неделя: 5","БГЭУ: 4/313","True"
"ЗАМ; БГЭУ: 2/402; (ЯS); 23 ДЦИ-21; (Лаб-10); неделя: 5","10/01/2025","14:35","10/01/2025","15:55","False","Зеневич Анна Михайловна; БГЭУ: 2/402; (Язык SQL); 23 ДЦИ-21; (Лабораторные занятия); неделя: 5","БГЭУ: 2/402","True"
"ЗАМ; БГЭУ: 2/402; (ЯS); 23 ДЦИ-11; (Лаб-10); неделя: 5","10/01/2025","16:05","10/01/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/402; (Язык SQL); 23 ДЦИ-11; (Лабораторные занятия); неделя: 5","БГЭУ: 2/402","True"
"ЗАМ; БГЭУ: 2/218; (ЯS); 23 ДЦС-11; (Лаб-10); неделя: 5","10/01/2025","17:45","10/01/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 2/218; (Язык SQL); 23 ДЦС-11; (Лабораторные занятия); неделя: 5","БГЭУ: 2/218","True"
"ЗАМ; БГЭУ: 2/218; (ЯS); 23 ДЦС-12; (Лаб-10); неделя: 5","10/02/2025","13:05","10/02/2025","14:25","False","Зеневич Анна Михайловна; БГЭУ: 2/218; (Язык SQL); 23 ДЦС-12; (Лабораторные занятия); неделя: 5","БГЭУ: 2/218","True"
"ЗАМ; БГЭУ: 2/405; (ЯS); 23 ДЦИ-22; (Лаб-8); неделя: 5","10/02/2025","14:35","10/02/2025","15:55","False","Зеневич Анна Михайловна; БГЭУ: 2/405; (Язык SQL); 23 ДЦИ-22; (Лабораторные занятия); неделя: 5","БГЭУ: 2/405","True"
"ЗАМ; БГЭУ: 2/301; (ЯS); 23 ДЦИ-12; (Лаб-10); неделя: 5","10/02/2025","16:05","10/02/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/301; (Язык SQL); 23 ДЦИ-12; (Лабораторные занятия); неделя: 5","БГЭУ: 2/301","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лек-9); неделя: 6","10/06/2025","17:45","10/06/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лекции); неделя: 6","БГЭУ: 2/406","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лаб-10); неделя: 6","10/06/2025","19:15","10/06/2025","20:35","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лабораторные занятия); неделя: 6","БГЭУ: 2/406","True"
